Model,Params(B),Original_FP16(GB),autoround,awq,gptq,simple_ptq,smoothquant
Hammer2.0-0.5b,0.6,1.17,0.69,0.69,0.69,0.86,0.86
Hammer2.0-1.5b,1.8,3.31,1.51,1.52,1.51,N/A,2.10
Hammer2.0-3b,0.6,1.17,0.69,0.69,0.69,0.86,0.86
Hammer2.0-7b,7.6,14.18,N/A,5.20,5.17,N/A,N/A
Llama-3.1-8B-Instruct,8.0,14.96,5.33,5.35,5.33,8.48,8.48
Llama-xLAM-2-8b-fc-r,8.0,14.96,5.33,5.35,5.33,8.48,8.48
Nanbeige4-3B-Thinking-2511,3.9,7.33,3.09,3.10,3.09,4.48,4.48
Qwen2.5-7B,7.6,14.18,5.18,5.20,5.18,8.13,8.13
Qwen3-8B,8.2,15.26,5.67,5.69,5.67,8.81,8.81
ToolACE-8B,8.0,14.96,N/A,5.35,5.33,N/A,N/A
xLAM-1b-fc-r,1.3,2.51,0.83,0.84,0.83,1.38,1.38
xLAM-2-32b-fc-r-awq-asym,32.8,61.03,N/A,18.02,N/A,N/A,N/A
xLAM-2-3b-fc-r,3.4,6.33,2.51,2.52,2.51,3.76,3.76
